geography_level,geography_name,parent_region,parent_icb,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate
Region,SOUTH EAST,SOUTH EAST,,3604.4445788530466,1337.016231438812,2267.4283474142344,1316193.0,488324.0,827869.0,62.89875421005886,37.10124578994114
Region,NORTH WEST,NORTH WEST,,3563.8070788530463,1368.032379672299,2195.7746991807476,1300349.0,499098.0,801251.0,61.61815020429131,38.38184979570869
Region,SOUTH WEST,SOUTH WEST,,2730.7241359447003,1146.3993791602663,1584.3247567844344,996596.0,418584.0,578012.0,57.99862732742255,42.00137267257745
Region,LONDON,LONDON,,2983.910739887353,1270.6993151561699,1713.211424731183,1088734.0,463799.0,624935.0,57.400154675062964,42.599845324937036
Region,NORTH EAST AND YORKSHIRE,NORTH EAST AND YORKSHIRE,,3727.615156169995,1602.241730670763,2125.373425499232,1360315.0,584989.0,775326.0,56.996063411783304,43.0039365882167
Region,MIDLANDS,MIDLANDS,,4040.6270609319,1860.2702956989249,2180.3567652329752,1474405.0,679028.0,795377.0,53.94562552351626,46.05437447648374
Region,EAST OF ENGLAND,EAST OF ENGLAND,,2077.3553059395804,1161.7157642089094,915.6395417306708,758294.0,424189.0,334105.0,44.060087512231405,55.939912487768595
ICB,NHS SUSSEX INTEGRATED CARE BOARD,SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,748.8465753424657,205.47123287671232,543.3753424657534,273329.0,74997.0,198332.0,72.5616381723125,27.438361827687512
ICB,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,271.4657534246575,86.73972602739725,184.72602739726028,99085.0,31660.0,67425.0,68.04763586819398,31.95236413180603
ICB,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,234.64931506849314,77.54520547945205,157.1041095890411,85647.0,28304.0,57343.0,66.95272455544269,33.047275444557314
ICB,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,412.7260273972603,136.94246575342467,275.78356164383564,150645.0,49984.0,100661.0,66.82000730193501,33.179992698064986
ICB,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,541.3972602739726,184.52876712328768,356.8684931506849,197610.0,67353.0,130257.0,65.91619857294671,34.08380142705328
ICB,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1603.3917808219178,548.654794520548,1054.7369863013698,585238.0,200259.0,384979.0,65.78161363411125,34.21838636588875
ICB,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1081.9424657534246,377.1178082191781,704.8246575342466,394909.0,137648.0,257261.0,65.1443750332355,34.855624966764495
ICB,NHS SOMERSET INTEGRATED CARE BOARD,SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,301.0712328767123,107.63835616438357,193.43287671232878,109891.0,39288.0,70603.0,64.24820958950232,35.75179041049768
ICB,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,357.8821917808219,130.9753424657534,226.90684931506848,130627.0,47806.0,82821.0,63.40266560511992,36.59733439488008
ICB,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,678.8164383561644,250.53972602739725,428.27671232876713,247768.0,91447.0,156321.0,63.09168254173259,36.90831745826741
ICB,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,1256.6712328767123,467.03561643835616,789.6356164383561,458685.0,170468.0,288217.0,62.835497127658414,37.164502872341586
ICB,NHS DORSET INTEGRATED CARE BOARD,SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,429.4821917808219,160.75616438356164,268.7260273972603,156761.0,58676.0,98085.0,62.56977181824561,37.43022818175439
ICB,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",587.8465753424657,220.5150684931507,367.3315068493151,214564.0,80488.0,134076.0,62.48764937268134,37.51235062731866
ICB,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,465.8821917808219,175.42739726027398,290.4547945205479,170047.0,64031.0,106016.0,62.345116350185535,37.654883649814465
ICB,NHS FRIMLEY INTEGRATED CARE BOARD,SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,308.97534246575344,124.3945205479452,184.5808219178082,112776.0,45404.0,67372.0,59.739660920763285,40.260339079236715
ICB,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1193.2246575342465,485.9780821917808,707.2465753424658,435527.0,177382.0,258145.0,59.271870630293876,40.72812936970613
ICB,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",453.16712328767125,185.0082191780822,268.15890410958906,165406.0,67528.0,97878.0,59.17439512472341,40.825604875276596
ICB,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,799.2986301369863,328.027397260274,471.2712328767123,291744.0,119730.0,172014.0,58.96059559065482,41.03940440934518
ICB,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,205.53424657534248,85.4876712328767,120.04657534246576,75020.0,31203.0,43817.0,58.40709144228205,41.59290855771794
ICB,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,790.0849315068493,334.26027397260276,455.82465753424657,288381.0,122005.0,166376.0,57.693121252787115,42.30687874721289
ICB,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,548.4328767123287,236.06849315068493,312.3643835616438,200178.0,86165.0,114013.0,56.95580932969657,43.04419067030343
ICB,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",211.17534246575343,94.33150684931506,116.84383561643835,77079.0,34431.0,42648.0,55.330245592184646,44.66975440781536
ICB,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,524.8602739726027,236.82739726027398,288.03287671232874,191574.0,86442.0,105132.0,54.87801058598766,45.12198941401234
