region,icb,org_code,org_name,total_los7_bed_days,avg_weekly_los7_bed_days,max_weekly_los7_bed_days,reporting_points
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,313608.0,6030.923076923077,7442.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,234764.0,4514.692307692308,5748.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,222596.0,4280.692307692308,5979.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,192067.0,3766.0196078431372,5564.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,180168.0,3464.769230769231,4493.0,52
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ2,LEWISHAM AND GREENWICH NHS TRUST,171558.0,3299.1923076923076,5362.0,52
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,167836.0,3227.6153846153848,4202.0,52
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,158540.0,3048.846153846154,4655.0,52
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,143965.0,2768.5576923076924,3539.0,52
SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,141351.0,2827.02,3769.0,52
LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,139803.0,2688.519230769231,3534.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,138108.0,2655.923076923077,3389.0,52
MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,129080.0,2482.3076923076924,4593.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,125274.0,2409.1153846153848,3240.0,52
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,122654.0,2358.730769230769,3469.0,52
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,116727.0,2244.75,3715.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,115949.0,2229.7884615384614,2989.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,112621.0,2165.7884615384614,2627.0,52
