region,icb,org_code,org_name,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,QNX,NHS SUSSEX INTEGRATED CARE BOARD,748.8465753424657,205.47123287671232,543.3753424657534,273329.0,74997.0,198332.0,72.5616381723125,27.438361827687512
MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,271.4657534246575,86.73972602739725,184.72602739726028,99085.0,31660.0,67425.0,68.04763586819398,31.95236413180603
MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,234.64931506849314,77.54520547945205,157.1041095890411,85647.0,28304.0,57343.0,66.95272455544269,33.047275444557314
LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,412.7260273972603,136.94246575342467,275.78356164383564,150645.0,49984.0,100661.0,66.82000730193501,33.179992698064986
NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,541.3972602739726,184.52876712328768,356.8684931506849,197610.0,67353.0,130257.0,65.91619857294671,34.08380142705328
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1603.3917808219178,548.654794520548,1054.7369863013698,585238.0,200259.0,384979.0,65.78161363411125,34.21838636588875
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1081.9424657534246,377.1178082191781,704.8246575342466,394909.0,137648.0,257261.0,65.1443750332355,34.855624966764495
SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,QSL,NHS SOMERSET INTEGRATED CARE BOARD,301.0712328767123,107.63835616438357,193.43287671232878,109891.0,39288.0,70603.0,64.24820958950232,35.75179041049768
MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,357.8821917808219,130.9753424657534,226.90684931506848,130627.0,47806.0,82821.0,63.40266560511992,36.59733439488008
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,678.8164383561644,250.53972602739725,428.27671232876713,247768.0,91447.0,156321.0,63.09168254173259,36.90831745826741
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,1256.6712328767123,467.03561643835616,789.6356164383561,458685.0,170468.0,288217.0,62.835497127658414,37.164502872341586
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,QVV,NHS DORSET INTEGRATED CARE BOARD,429.4821917808219,160.75616438356164,268.7260273972603,156761.0,58676.0,98085.0,62.56977181824561,37.43022818175439
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",587.8465753424657,220.5150684931507,367.3315068493151,214564.0,80488.0,134076.0,62.48764937268134,37.51235062731866
MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,465.8821917808219,175.42739726027398,290.4547945205479,170047.0,64031.0,106016.0,62.345116350185535,37.654883649814465
SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,308.97534246575344,124.3945205479452,184.5808219178082,112776.0,45404.0,67372.0,59.739660920763285,40.260339079236715
